price,review_scores_rating,number_of_reviews,security_deposit,cleaning_fee,neighborhood,property_type,room_type,accommodates,bathrooms,beds,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified
300,100,24,500,95,Wallingford,House,Entire home/apt,5,1.5,3,within a few hours,1,1,t,t,t
149,96,11,300,105,Wallingford,Apartment,Entire home/apt,6,1,3,within an hour,1,1,f,t,t
95,95,79,150,40,Wallingford,Apartment,Entire home/apt,3,1,2,within an hour,1,1,f,t,t
105,100,13,500,50,Wallingford,House,Private room,2,2,1,within a few hours,1,1,t,t,t
140,99,30,250,65,Wallingford,House,Entire home/apt,2,1,1,within an hour,1,1,t,t,t
130,97,14,350,50,Wallingford,Apartment,Entire home/apt,4,1,1,within an hour,1,1,t,t,f
199,84,5,350,160,Wallingford,House,Entire home/apt,8,2,4,within an hour,1,1,f,t,t
209,96,5,300,95,Wallingford,House,Entire home/apt,6,1.5,3,within an hour,1,1,f,t,t
100,97,28,100,50,Wallingford,House,Entire home/apt,4,1,2,within an hour,1,1,t,t,t
110,96,97,100,30,Wallingford,Apartment,Entire home/apt,4,1,1,within a few hours,0.9,1,f,t,t
104,96,15,250,50,Wallingford,Apartment,Entire home/apt,2,1,2,within an hour,1,1,f,t,t
135,97,71,200,30,Wallingford,Apartment,Entire home/apt,6,1,3,within a few hours,0.9,1,t,t,t
122,96,9,100,50,Wallingford,House,Entire home/apt,6,1,3,within an hour,1,1,f,t,t
158,80,1,150,65,Wallingford,House,Entire home/apt,4,1,2,within an hour,1,1,f,t,t
125,93,12,100,50,Wallingford,House,Entire home/apt,4,1,2,within a few hours,1,1,f,t,t
65,97,61,200,40,Wallingford,House,Private room,2,1,1,within an hour,1,1,t,t,t
100,94,49,95,40,Wallingford,House,Entire home/apt,4,1,2,within an hour,1,1,f,t,t
99,96,10,400,100,Wallingford,Apartment,Entire home/apt,4,1,3,within an hour,1,1,t,t,f
126,95,12,350,65,Wallingford,House,Entire home/apt,4,1,2,within an hour,1,1,f,t,t
90,100,54,100,50,Wallingford,Apartment,Entire home/apt,2,1,1,within a few hours,1,1,t,t,t
40,93,6,350,35,Wallingford,House,Shared room,1,1,1,within an hour,0.9,1,f,t,t
50,100,1,350,28,Wallingford,House,Shared room,1,1,1,within an hour,0.9,1,f,t,t
40,94,7,350,35,Wallingford,House,Shared room,1,1,1,within an hour,0.9,1,f,t,t
40,80,1,350,35,Wallingford,House,Shared room,1,1,1,within an hour,0.9,1,f,t,t
160,93,37,400,90,Wallingford,House,Entire home/apt,6,1,4,within a few hours,1,1,f,t,t
40,90,2,350,35,Wallingford,House,Shared room,1,1,1,within an hour,0.9,1,f,t,t
150,97,6,300,75,Wallingford,House,Entire home/apt,5,1,2,within an hour,1,1,f,t,t
40,93,6,350,35,Wallingford,House,Shared room,1,1,1,within an hour,0.9,1,f,t,t
575,100,5,500,175,Wallingford,House,Entire home/apt,8,3,5,within a few hours,1,1,f,t,t
40,93,4,350,35,Wallingford,House,Shared room,1,1,1,within an hour,0.9,1,f,t,t
70,95,12,250,75,Wallingford,Apartment,Entire home/apt,4,1,2,within an hour,1,1,f,t,t
100,97,6,100,75,Wallingford,Apartment,Entire home/apt,4,1,2,within a few hours,1,1,f,t,t
250,88,5,200,65,Wallingford,House,Entire home/apt,7,1,4,within a day,1,1,f,t,f
150,90,2,400,120,Wallingford,House,Entire home/apt,4,1,2,within a few hours,1,1,f,t,t
200,100,2,100,50,Wallingford,House,Entire home/apt,5,1,2,within a few hours,1,1,f,t,t
95,80,1,300,75,Wallingford,Apartment,Entire home/apt,2,1,1,within a few hours,1,1,t,t,t
40,84,6,350,35,Wallingford,House,Shared room,1,1,1,within an hour,0.9,1,f,t,t
90,93,52,200,40,Wallingford,Apartment,Entire home/apt,2,1,1,within a few hours,0.9,1,f,t,t
109,99,36,100,60,Wallingford,Apartment,Entire home/apt,4,1,3,within an hour,1,1,t,t,t
40,88,5,350,28,Wallingford,House,Shared room,1,1,1,within an hour,0.9,1,f,t,t
175,95,4,100,75,Wallingford,House,Entire home/apt,4,1,1,within an hour,1,1,f,t,t
80,96,69,100,40,Wallingford,House,Entire home/apt,3,1,2,within a few hours,1,1,f,t,t
100,98,12,500,50,Wallingford,Apartment,Entire home/apt,4,1,3,within an hour,1,1,f,t,f
40,94,7,350,35,Wallingford,House,Shared room,1,1,1,within an hour,0.9,1,f,t,t
160,98,30,500,20,Wallingford,House,Entire home/apt,6,1,4,within an hour,1,1,t,t,t
55,93,16,300,30,Wallingford,House,Private room,3,1,2,within an hour,0.8,1,f,t,t
95,93,17,200,50,Wallingford,House,Entire home/apt,6,1,2,within a few hours,1,1,f,t,t
155,80,1,500,100,Wallingford,House,Entire home/apt,4,1,2,within a few hours,1,1,f,t,t
40,95,4,350,35,Wallingford,House,Shared room,1,1,1,within an hour,0.9,1,f,t,t
250,93,4,400,100,Wallingford,House,Entire home/apt,7,2,5,within an hour,1,1,f,t,t
145,96,44,150,50,Wallingford,House,Entire home/apt,2,1,1,within an hour,1,1,f,t,t
254,97,70,300,125,Wallingford,House,Entire home/apt,8,3,3,within an hour,1,1,t,t,t
65,99,36,500,10,Wallingford,House,Private room,2,1,1,within a day,0.7,1,f,t,t
150,99,86,500,60,Wallingford,House,Entire home/apt,4,1,2,within an hour,1,1,t,t,t
45,97,15,250,20,Wallingford,House,Private room,3,1,2,within an hour,0.8,1,f,t,t
135,99,32,350,50,Wallingford,Apartment,Entire home/apt,4,1,1,within an hour,1,1,f,t,t
85,100,10,200,80,Wallingford,Apartment,Entire home/apt,2,1,1,within a day,1,1,t,t,t
310,95,47,350,195,Wallingford,House,Entire home/apt,8,2,3,within a few hours,0.9,1,f,t,t
40,87,3,350,35,Wallingford,House,Shared room,1,1,1,within an hour,0.9,1,f,t,t
245,95,38,200,145,Wallingford,House,Entire home/apt,8,2.5,3,within an hour,1,1,t,t,t
120,98,44,250,22,Wallingford,House,Entire home/apt,3,1,1,within an hour,1,1,t,t,t
120,88,32,200,85,Wallingford,Apartment,Entire home/apt,6,1,6,within a few hours,0.9,1,f,t,t
50,100,2,100,15,Wallingford,Apartment,Private room,2,1,1,within a day,1,1,f,t,f
40,100,1,350,35,Wallingford,House,Shared room,1,1,1,within an hour,0.9,1,f,t,t
95,97,88,100,30,Wallingford,House,Private room,2,1,1,within an hour,1,1,t,t,t
144,96,32,200,80,Wallingford,Apartment,Entire home/apt,5,1,3,within a day,0.8,1,f,t,t
380,100,3,300,100,Minor,House,Entire home/apt,8,2.5,3,within an hour,1,1,f,t,f
225,100,3,500,150,Minor,House,Entire home/apt,8,3,4,within a day,1,1,f,t,t
85,92,74,250,83,Minor,House,Entire home/apt,3,1,1,within an hour,1,1,f,t,t
79,95,104,300,70,Minor,Apartment,Entire home/apt,4,1,2,within an hour,1,1,t,t,t
49,88,79,100,5,Minor,House,Private room,2,1,1,within an hour,1,1,f,t,t
330,100,4,300,75,Minor,House,Entire home/apt,7,2.5,4,within an hour,0.83,1,t,t,t
350,94,7,200,120,Minor,House,Entire home/apt,8,3,4,within a few hours,1,1,t,t,t
130,96,5,150,30,Minor,House,Private room,2,1,1,within an hour,0.83,1,t,t,t
80,100,3,550,35,Minor,Apartment,Private room,2,1,1,within an hour,1,1,f,t,t
72,98,94,150,30,Minor,House,Private room,2,1.5,1,within a day,0.75,1,t,t,t
81,94,51,200,5,Minor,Apartment,Entire home/apt,2,1,1,within an hour,1,1,f,t,t
58,100,68,200,30,Minor,House,Private room,2,2,1,within a few hours,1,1,t,t,t
100,100,4,200,35,Minor,House,Private room,1,1,1,within a few hours,0.8,1,t,t,t
105,93,8,200,60,Minor,Apartment,Entire home/apt,2,1,1,within an hour,1,1,f,t,t
165,100,47,250,60,Minor,House,Entire home/apt,6,1,3,within an hour,1,1,t,t,t
81,93,11,100,65,Minor,Apartment,Entire home/apt,2,1,1,within an hour,1,1,f,t,t
70,100,3,250,45,Minor,Apartment,Entire home/apt,3,1,1,within an hour,0.75,1,f,t,t
90,100,3,250,40,Minor,House,Entire home/apt,4,1,2,within an hour,1,1,f,t,t
70,100,52,200,30,Minor,House,Private room,2,2,1,within a few hours,1,1,t,t,t
105,100,8,115,25,Minor,House,Private room,2,1,1,within an hour,0.83,1,t,t,t
111,100,75,200,30,Minor,House,Private room,2,3,1,within a few hours,1,1,t,t,t
108,100,8,120,25,Minor,House,Private room,2,1,2,within an hour,0.83,1,t,t,t
115,96,81,250,100,Minor,House,Entire home/apt,6,1,3,within an hour,1,1,f,t,f
114,100,4,500,50,Minor,House,Entire home/apt,6,1,4,within a few hours,1,1,f,t,t
199,100,3,300,80,Minor,Apartment,Entire home/apt,3,2,2,within an hour,1,1,f,t,t
175,72,13,300,80,Minor,House,Entire home/apt,8,1,3,within a few hours,0.7,1,f,t,t
120,99,30,150,50,Minor,Apartment,Entire home/apt,4,1,1,within an hour,1,1,t,t,t
160,95,4,150,25,Minor,House,Entire home/apt,4,1,2,within a day,1,1,f,t,f
150,100,1,200,60,Minor,Apartment,Entire home/apt,4,1,2,within an hour,1,1,f,t,t
95,90,13,250,50,Minor,House,Private room,2,1,1,within a few hours,0.7,1,f,t,t
79,96,10,200,80,Minor,House,Private room,1,1,1,within a day,1,1,t,t,t
72,95,39,150,30,Minor,House,Private room,2,1.5,1,within a day,0.75,1,t,t,t
115,100,1,500,80,Minor,Apartment,Entire home/apt,6,1,2,within a few hours,1,1,f,t,t
270,100,1,300,100,Minor,House,Entire home/apt,8,3.5,5,within an hour,1,1,f,t,f
300,93,21,300,100,Minor,House,Entire home/apt,10,3.5,6,within a few hours,0.97,1,f,t,t
87,99,49,200,30,Minor,House,Private room,2,3,1,within a few hours,1,1,t,t,t
156,95,4,95,25,Minor,House,Entire home/apt,3,1,1,within a few hours,0.89,1,f,t,t
90,95,32,200,35,Minor,House,Private room,1,1,1,within a few hours,0.8,1,t,t,t
115,100,3,100,10,Minor,House,Entire home/apt,3,1,1,within an hour,1,1,f,t,t
119,100,2,300,25,Minor,House,Entire home/apt,2,1,1,within an hour,1,1,f,t,t
220,96,25,250,125,Minor,House,Entire home/apt,6,2.5,4,within an hour,1,1,t,t,t
100,90,2,200,100,Minor,House,Entire home/apt,4,1,2,within a few hours,1,1,f,t,t
99,75,18,350,60,Minor,House,Entire home/apt,4,1,1,within a few hours,0.7,1,f,t,t
125,100,20,700,30,Minor,Apartment,Entire home/apt,3,1,2,within an hour,1,1,t,t,t
200,98,40,350,75,Minor,House,Entire home/apt,4,1.5,2,within a few hours,1,1,t,t,t
287,100,1,500,117,Minor,House,Entire home/apt,6,3.5,4,within a few hours,1,1,f,t,t
90,97,51,350,45,Minor,Apartment,Entire home/apt,5,1,1,within an hour,1,1,t,t,t
150,99,36,300,125,Minor,Apartment,Entire home/apt,4,1,3,within an hour,1,1,t,t,t
150,100,6,600,60,Minor,House,Entire home/apt,4,1,3,within an hour,0.86,1,f,t,t
144,99,28,300,60,Belltown,Apartment,Entire home/apt,3,1,1,within an hour,1,1,t,t,f
999,94,54,95,85,Belltown,Apartment,Entire home/apt,4,1,1,within a few hours,1,1,f,t,f
95,100,2,250,60,Belltown,Apartment,Entire home/apt,3,1,1,within an hour,1,1,f,t,t
150,97,19,300,60,Belltown,Apartment,Entire home/apt,3,1,1,within an hour,1,1,t,t,f
130,20,1,200,61,Belltown,Apartment,Entire home/apt,2,1,1,within an hour,1,1,f,t,f
129,98,31,300,61,Belltown,Apartment,Entire home/apt,2,1,1,within an hour,1,1,t,t,t
90,95,13,250,65,Belltown,Apartment,Entire home/apt,4,1,3,within an hour,0.97,1,f,t,t
150,98,12,300,40,Belltown,Apartment,Entire home/apt,2,1,1,within a few hours,1,1,t,t,t
139,98,39,300,60,Belltown,Apartment,Entire home/apt,3,1,1,within an hour,1,1,t,t,t
139,100,2,200,60,Belltown,Apartment,Entire home/apt,3,1,1,within an hour,1,1,t,t,t
120,96,18,200,75,Belltown,Apartment,Entire home/apt,2,1,1,within a day,1,1,f,t,t
125,92,121,300,60,Belltown,Apartment,Entire home/apt,5,1,1,within an hour,1,1,f,t,t
140,92,13,100,50,Belltown,Apartment,Entire home/apt,2,1,1,within a day,1,1,f,t,t
149,97,32,500,50,Belltown,Apartment,Entire home/apt,3,1,2,within an hour,1,1,f,t,t
93,97,49,95,50,Belltown,Apartment,Entire home/apt,2,1,1,within an hour,1,1,t,t,t
125,99,29,400,50,Belltown,Apartment,Entire home/apt,2,1,1,within an hour,1,1,f,t,t
155,97,14,250,95,Belltown,Apartment,Entire home/apt,5,1,3,within a few hours,1,1,t,t,t
320,97,22,400,150,Belltown,Apartment,Entire home/apt,6,2.5,2,within a day,0.5,1,f,t,t
200,97,23,200,105,Belltown,Apartment,Entire home/apt,7,2,2,within a few hours,1,1,f,t,t
219,95,44,500,80,Belltown,Apartment,Entire home/apt,4,1,2,within an hour,1,1,t,t,t
100,97,28,95,10,Belltown,Apartment,Entire home/apt,2,1,2,within a few hours,1,1,f,t,t
200,95,47,100,105,Belltown,Apartment,Entire home/apt,7,2,4,within a few hours,1,1,f,t,t
113,90,27,100,35,Belltown,Apartment,Entire home/apt,4,1,1,within a few hours,0.83,1,f,t,t
100,98,45,100,80,Belltown,Apartment,Entire home/apt,2,1,1,within an hour,1,1,t,t,t
106,100,4,300,100,Belltown,Apartment,Entire home/apt,4,1,1,within a day,0.8,1,f,t,t
80,100,1,250,65,Belltown,Apartment,Entire home/apt,4,1,3,within an hour,0.97,1,f,t,t
139,100,5,200,60,Belltown,Apartment,Entire home/apt,2,1,1,within an hour,1,1,t,t,t
135,98,20,250,95,Belltown,Apartment,Entire home/apt,4,1,2,within a few hours,1,1,t,t,t
139,100,1,200,60,Belltown,Apartment,Entire home/apt,2,1,1,within an hour,1,1,t,t,t
129,98,12,300,61,Belltown,Apartment,Entire home/apt,2,1,1,within an hour,1,1,t,t,t
99,98,36,250,65,Belltown,Apartment,Entire home/apt,4,1,3,within an hour,0.97,1,f,t,t
150,95,12,300,60,Belltown,Apartment,Entire home/apt,3,1,1,within an hour,1,1,t,t,f
149,98,18,200,55,Belltown,Apartment,Entire home/apt,2,1,1,within an hour,1,1,t,t,t
149,97,37,100,88,Belltown,Apartment,Entire home/apt,4,1,2,within a few hours,1,1,f,t,t
139,100,5,200,60,Belltown,Apartment,Entire home/apt,3,1,1,within an hour,1,1,t,t,t
149,97,48,300,60,Belltown,Apartment,Entire home/apt,3,1,1,within an hour,1,1,t,t,t
130,95,12,450,90,Belltown,Apartment,Entire home/apt,3,1.5,2,within an hour,1,1,t,t,t
115,100,1,300,50,Belltown,Apartment,Entire home/apt,3,1,1,within an hour,1,1,f,t,t
159,95,28,300,95,Belltown,Apartment,Entire home/apt,2,1,1,within an hour,0.98,1,f,t,t
100,90,123,95,45,Belltown,Apartment,Entire home/apt,4,1,2,within an hour,1,1,f,t,t
170,99,27,300,60,Belltown,Apartment,Entire home/apt,3,1,1,within an hour,1,1,t,t,f
135,96,21,100,50,Belltown,Apartment,Entire home/apt,2,1,1,within an hour,1,1,f,t,t
149,93,95,300,60,Belltown,Apartment,Entire home/apt,3,1,1,within an hour,1,1,t,t,t
115,93,37,150,45,Belltown,Apartment,Entire home/apt,3,1,2,within an hour,1,1,f,t,t
175,97,24,250,95,Belltown,Apartment,Entire home/apt,6,1,3,within a few hours,1,1,t,t,t
124,90,35,300,50,Belltown,Apartment,Entire home/apt,3,1,1,within an hour,1,1,t,t,t
169,99,15,150,30,Belltown,Apartment,Entire home/apt,2,1,1,within a day,0.8,1,t,t,t
35,100,2,100,10,Belltown,Apartment,Shared room,4,1,2,within a few hours,1,1,f,t,t
115,90,12,100,45,Belltown,Apartment,Entire home/apt,3,1,1,within an hour,1,1,f,t,t
115,95,115,99,38,Belltown,Apartment,Entire home/apt,2,1,1,within an hour,1,1,f,t,t
165,95,4,150,65,Belltown,Apartment,Entire home/apt,3,1,2,within an hour,1,1,f,t,t
115,96,22,300,50,Belltown,Apartment,Entire home/apt,3,1,1,within an hour,1,1,f,t,t
145,95,45,100,50,Belltown,Apartment,Entire home/apt,2,1,1,within an hour,1,1,f,t,t
